Distance_(µm),Gray_Value
0.72470,0.000
0.72619,0.000
0.72768,0.000
0.72917,0.000
0.73065,0.000
0.73214,0.000
0.73363,0.000
0.73512,0.000
0.73661,0.000
0.73810,0.000
0.73958,0.000
0.74107,0.000
0.74256,0.000
0.74405,0.000
0.74554,0.000
0.74702,0.000
0.74851,0.000
0.75000,0.000
0.75149,0.000
0.75298,0.000
0.75446,0.000
0.75595,0.000
0.75744,0.000
0.75893,0.000
0.76042,0.000
0.76190,0.000
0.76339,0.000
0.76488,0.000
0.76637,0.000
0.76786,0.000
0.76935,0.000
0.77083,0.000
0.77232,0.000
0.77381,0.000
0.77530,0.000
0.77679,0.000
0.77827,0.000
0.77976,0.000
0.78125,0.000
0.78274,0.000
0.78423,0.000
0.78571,0.000
0.78720,0.000
0.78869,0.000
0.79018,0.000
0.79167,0.000
0.79315,0.000
0.79464,0.000
0.79613,0.000
0.79762,0.000
0.79911,0.000
0.80060,0.000
0.80208,0.000
0.80357,0.000
0.80506,0.000
0.80655,0.000
0.80804,0.000
0.80952,0.000
0.81101,0.000
0.81250,0.000
0.81399,0.000
0.81548,0.000
0.81696,0.000
0.81845,0.000
0.81994,0.000
0.82143,0.000
0.82292,0.000
0.82440,0.000
0.82589,0.000
0.82738,0.000
0.82887,0.000
0.83036,0.000
0.83185,0.000
0.83333,0.000
0.83482,0.000
0.83631,0.000
0.83780,0.000
0.83929,0.000
0.84077,0.000
0.84226,0.000
0.84375,0.000
0.84524,0.000
0.84673,0.000
0.84821,0.000
0.84970,0.000
0.85119,0.000
0.85268,0.000
0.85417,0.000
0.85565,0.000
0.85714,0.000
0.85863,0.000
0.86012,0.000
0.86161,0.000
0.86310,0.000
0.86458,0.000
0.86607,0.000
0.86756,0.000
0.86905,0.000
0.87054,0.000
0.87202,0.000
0.87351,0.000
0.87500,0.000
0.87649,0.000
0.87798,0.000
0.87946,0.000
0.88095,0.000
0.88244,0.000
0.88393,0.000
0.88542,0.000
0.88690,0.000
0.88839,0.000
0.88988,0.000
0.89137,0.000
0.89286,0.000
0.89435,0.000
0.89583,0.000
0.89732,0.000
0.89881,0.000
0.90030,0.000
0.90179,0.000
0.90327,0.000
0.90476,0.000
0.90625,0.000
0.90774,0.000
0.90923,0.000
0.91071,0.000
0.91220,0.000
0.91369,0.000
0.91518,0.000
0.91667,0.000
0.91815,0.000
0.91964,0.000
0.92113,0.000
0.92262,0.000
0.92411,0.000
0.92560,0.000
0.92708,0.000
0.92857,0.000
0.93006,0.000
0.93155,0.000
0.93304,0.000
0.93452,113.495
0.93601,255.000
0.93750,255.000
0.93899,255.000
0.94048,255.000
0.94196,175.574
0.94345,39.395
0.94494,0.000
0.94643,0.000
0.94792,0.000
0.94940,0.000
0.95089,0.000
0.95238,0.000
0.95387,0.000
0.95536,0.000
0.95685,0.000
0.95833,0.000
0.95982,0.000
0.96131,0.000
0.96280,0.000
0.96429,0.000
0.96577,0.000
0.96726,0.000
0.96875,0.000
0.97024,0.000
0.97173,0.000
0.97321,0.000
0.97470,0.000
0.97619,0.000
0.97768,0.000
0.97917,0.000
0.98065,0.000
0.98214,0.000
0.98363,0.000
0.98512,0.000
0.98661,0.000
0.98810,0.000
0.98958,0.000
0.99107,0.000
0.99256,0.000
0.99405,0.000
0.99554,0.000
0.99702,0.000
0.99851,0.000
1.00000,0.000
1.00149,0.000
1.00298,0.000
1.00446,0.000
1.00595,0.000
1.00744,0.000
1.00893,0.000
1.01042,0.000
1.01190,0.000
1.01339,0.000
1.01488,0.000
1.01637,0.000
1.01786,0.000
1.01935,0.000
1.02083,0.000
1.02232,0.000
1.02381,0.000
1.02530,0.000
1.02679,0.000
1.02827,0.000
1.02976,0.000
1.03125,0.000
1.03274,0.000
1.03423,0.000
1.03571,0.000
1.03720,0.000
1.03869,0.000
1.04018,0.000
1.04167,0.000
1.04315,0.000
1.04464,0.000
1.04613,0.000
1.04762,0.000
1.04911,0.000
1.05060,0.000
1.05208,0.000
1.05357,0.000
1.05506,0.000
1.05655,0.000
1.05804,0.000
1.05952,0.000
1.06101,0.000
1.06250,0.000
1.06399,0.000
1.06548,0.000
1.06696,0.000
1.06845,0.000
1.06994,0.000
1.07143,0.000
1.07292,0.000
1.07440,0.000
1.07589,0.000
1.07738,0.000
1.07887,0.000
1.08036,0.000
1.08185,0.000
1.08333,0.000
1.08482,0.000
1.08631,0.000
1.08780,0.000
1.08929,0.000
1.09077,0.000
1.09226,0.000
1.09375,0.000
1.09524,0.000
1.09673,0.000
1.09821,0.000
1.09970,0.000
1.10119,0.000
1.10268,0.000
1.10417,0.000
1.10565,0.000
1.10714,0.000
1.10863,0.000
1.11012,0.000
1.11161,0.000
1.11310,0.000
1.11458,0.000
1.11607,0.000
1.11756,0.000
1.11905,0.000
1.12054,0.000
1.12202,0.000
1.12351,0.000
1.12500,0.000
1.12649,0.000
1.12798,0.000
1.12946,0.000
1.13095,0.000
1.13244,0.000
1.13393,0.000
1.13542,0.000
1.13690,0.000
1.13839,0.000
1.13988,0.000
1.14137,0.000
1.14286,0.000
1.14435,0.000
1.14583,0.000
1.14732,0.000
1.14881,0.000
1.15030,0.000
1.15179,0.000
1.15327,0.000
1.15476,0.000
1.15625,0.000
1.15774,0.000
1.15923,0.000
1.16071,0.000
1.16220,0.000
1.16369,0.000
1.16518,0.000
1.16667,0.000
1.16815,0.000
1.16964,0.000
1.17113,0.000
1.17262,0.000
1.17411,0.000
1.17560,0.000
1.17708,0.000
1.17857,0.000
1.18006,0.000
1.18155,0.000
1.18304,0.000
1.18452,0.000
1.18601,0.000
1.18750,0.000
1.18899,0.000
1.19048,0.000
1.19196,0.000
1.19345,0.000
1.19494,0.000
1.19643,0.000
1.19792,0.000
1.19940,88.718
1.20089,217.874
1.20238,255.000
1.20387,255.000
1.20536,255.000
1.20685,202.861
1.20833,54.335
1.20982,0.000
1.21131,0.000
1.21280,0.000
1.21429,0.000
1.21577,0.000
1.21726,0.000
1.21875,0.000
1.22024,0.000
1.22173,0.000
1.22321,0.000
1.22470,0.000
1.22619,0.000
1.22768,0.000
1.22917,0.000
1.23065,0.000
1.23214,0.000
1.23363,0.000
1.23512,0.000
1.23661,0.000
1.23810,0.000
1.23958,0.000
1.24107,0.000
1.24256,0.000
1.24405,0.000
1.24554,0.000
1.24702,0.000
1.24851,0.000
1.25000,0.000
1.25149,0.000
1.25298,0.000
1.25446,0.000
1.25595,0.000
1.25744,0.000
1.25893,0.000
1.26042,0.000
1.26190,0.000
1.26339,0.000
1.26488,0.000
1.26637,0.000
1.26786,0.000
1.26935,0.000
1.27083,0.000
1.27232,0.000
1.27381,0.000
1.27530,0.000
1.27679,0.000
1.27827,0.000
1.27976,0.000
1.28125,0.000
1.28274,0.000
1.28423,0.000
1.28571,0.000
1.28720,0.000
1.28869,0.000
1.29018,0.000
1.29167,0.000
1.29315,0.000
1.29464,0.000
1.29613,0.000
1.29762,0.000
1.29911,0.000
1.30060,0.000
1.30208,0.000
1.30357,0.000
1.30506,0.000
1.30655,0.000
1.30804,0.000
1.30952,0.000
1.31101,0.000
1.31250,0.000
1.31399,0.000
1.31548,0.000
1.31696,0.000
1.31845,0.000
1.31994,0.000
1.32143,0.000
1.32292,0.000
1.32440,0.000
1.32589,0.000
1.32738,0.000
1.32887,0.000
1.33036,0.000
1.33185,0.000
1.33333,0.000
1.33482,0.000
1.33631,0.000
1.33780,0.000
1.33929,0.000
1.34077,0.000
1.34226,0.000
1.34375,0.000
1.34524,0.000
1.34673,0.000
1.34821,0.000
1.34970,0.000
1.35119,0.000
1.35268,0.000
1.35417,0.000
1.35565,0.000
1.35714,0.000
1.35863,0.000
1.36012,0.000
1.36161,0.000
1.36310,0.000
1.36458,0.000
1.36607,0.000
1.36756,0.000
1.36905,0.000
1.37054,0.000
1.37202,0.000
1.37351,0.000
1.37500,0.000
1.37649,0.000
1.37798,0.000
1.37946,0.000
1.38095,0.000
1.38244,0.000
1.38393,0.000
1.38542,0.000
1.38690,0.000
1.38839,0.000
1.38988,0.000
1.39137,0.000
1.39286,0.000
1.39435,0.000
1.39583,0.000
1.39732,0.000
1.39881,0.000
1.40030,0.000
1.40179,0.000
1.40327,0.000
1.40476,0.000
1.40625,0.000
1.40774,0.000
1.40923,0.000
1.41071,0.000
1.41220,0.000
1.41369,0.000
1.41518,0.000
1.41667,0.000
1.41815,0.000
1.41964,0.000
1.42113,0.000
1.42262,0.000
1.42411,0.000
1.42560,0.000
1.42708,0.000
1.42857,0.000
1.43006,0.000
1.43155,0.000
1.43304,0.000
1.43452,0.000
1.43601,0.000
1.43750,0.000
1.43899,0.000
1.44048,0.000
1.44196,0.000
1.44345,0.000
1.44494,0.000
1.44643,0.000
1.44792,0.000
1.44940,0.000
1.45089,0.000
1.45238,0.000
1.45387,0.000
1.45536,0.000
1.45685,0.000
1.45833,0.000
1.45982,0.000
1.46131,0.000
1.46280,0.000
1.46429,0.000
1.46577,0.000
1.46726,0.000
1.46875,0.000
1.47024,0.000
1.47173,0.000
1.47321,0.000
1.47470,161.976
1.47619,251.915
1.47768,255.000
1.47917,255.000
1.48065,255.000
1.48214,138.377
1.48363,7.322
1.48512,0.000
1.48661,0.000
1.48810,0.000
1.48958,0.000
1.49107,0.000
1.49256,0.000
1.49405,0.000
1.49554,0.000
1.49702,0.000
1.49851,0.000
1.50000,0.000
1.50149,0.000
1.50298,0.000
1.50446,0.000
1.50595,0.000
1.50744,0.000
1.50893,0.000
1.51042,0.000
1.51190,0.000
1.51339,0.000
1.51488,0.000
1.51637,0.000
1.51786,0.000
1.51935,0.000
1.52083,0.000
1.52232,0.000
1.52381,0.000
1.52530,0.000
1.52679,0.000
1.52827,0.000
1.52976,0.000
1.53125,0.000
1.53274,0.000
1.53423,0.000
1.53571,0.000
1.53720,0.000
1.53869,0.000
1.54018,0.000
1.54167,0.000
1.54315,0.000
1.54464,0.000
1.54613,0.000
1.54762,0.000
1.54911,0.000
1.55060,0.000
1.55208,0.000
1.55357,0.000
